sample_id,candidate_rank,review_status,execution_label,error_type,severity,reviewer_confidence,annotator,review_notes
B_ID1_Es3,1,reviewed,error,timing,moderate,medium,codex_preliminary_v1,"Arms are still rising from waist level while the matched reference already holds the exercise posture."
B_ID1_Es3,2,reviewed,error,timing,moderate,medium,codex_preliminary_v1,"Right forearm is part of the same delayed arm-raise; this is a visible start-timing error."
B_ID1_Es3,3,reviewed,error,posture,moderate,medium,codex_preliminary_v1,"Both wrists are above the shoulder line (left about +0.29 torso length), so the arm plane is not level."
B_ID1_Es3,4,reviewed,error,posture,moderate,high,codex_preliminary_v1,"Left elbow is visibly flexed (median about 148 deg) and the wrist drops below the shoulder line."
B_ID1_Es3,5,reviewed,error,posture,moderate,medium,codex_preliminary_v1,"Left upper arm is about 65 deg from the torso rather than near the intended 90 deg shoulder-level position."
B_ID5_Es3,1,reviewed,correct,,,medium,codex_preliminary_v1,"Right upper arm remains near shoulder level (about 83 deg); visible elbow flexion belongs to the lower-arm component."
B_ID5_Es3,2,reviewed,correct,,,high,codex_preliminary_v1,"Left upper arm is near shoulder level (about 86 deg) throughout the interval."
B_ID5_Es3,3,reviewed,correct,,,medium,codex_preliminary_v1,"Right upper-arm elevation is acceptable (about 79 deg); the separate elbow-flexion error is not this component."
B_ID5_Es3,4,reviewed,correct,,,medium,codex_preliminary_v1,"Right upper arm stays close to the intended shoulder-level plane (about 81 deg)."
B_ID5_Es3,5,reviewed,error,posture,moderate,high,codex_preliminary_v1,"Left elbow remains clearly flexed (median about 125 deg) instead of extended."
B_ID6_Es3,1,reviewed,correct,,,high,codex_preliminary_v1,"Normal return to the resting position at the end of the recording; no visible trunk execution error."
B_ID6_Es3,2,reviewed,correct,,,high,codex_preliminary_v1,"Normal setup transition at the start of the recording."
B_ID6_Es3,3,reviewed,correct,,,medium,codex_preliminary_v1,"Right upper arm rises normally during setup; this boundary interval is not an execution error."
B_ID6_Es3,4,reviewed,correct,,,medium,codex_preliminary_v1,"Right elbow is extended during a normal setup transition."
B_ID6_Es3,5,reviewed,correct,,,medium,codex_preliminary_v1,"Left upper arm rises normally during setup; no persistent posture error is visible."
B_ID8_Es3,1,reviewed,correct,,,medium,codex_preliminary_v1,"Left upper-arm elevation is acceptable; any visible flexion is localized to the elbow/lower-arm component."
B_ID8_Es3,2,reviewed,correct,,,high,codex_preliminary_v1,"Right upper arm remains close to shoulder level (about 80 deg)."
B_ID8_Es3,3,reviewed,correct,,,high,codex_preliminary_v1,"Right upper arm is held near the intended horizontal plane (about 84 deg)."
B_ID8_Es3,4,reviewed,correct,,,medium,codex_preliminary_v1,"Left upper-arm posture is comparable to the reference; the large DTW value is not a visible local error."
B_ID8_Es3,5,reviewed,correct,,,high,codex_preliminary_v1,"Right upper arm is visibly held at shoulder level."
E_ID12_Es3,1,reviewed,correct,,,medium,codex_preliminary_v1,"Normal setup at the recording boundary; sample RGB shows no trunk error. Reference has skeleton only."
E_ID12_Es3,2,reviewed,correct,,,medium,codex_preliminary_v1,"Normal completion/return at the end; no right-upper-arm execution error is visible."
E_ID12_Es3,3,reviewed,correct,,,medium,codex_preliminary_v1,"Right arm rises normally during setup. Reference RGB is unavailable but sample evidence is clear."
E_ID12_Es3,4,reviewed,correct,,,medium,codex_preliminary_v1,"Normal endpoint transition rather than a persistent trunk-orientation error."
E_ID12_Es3,5,reviewed,correct,,,high,codex_preliminary_v1,"Right upper arm remains near the intended shoulder-level posture."
E_ID14_Es3,1,reviewed,error,posture,severe,high,codex_preliminary_v1,"Right elbow is strongly flexed (median about 106 deg) instead of extended."
E_ID14_Es3,2,adjudication_needed,uncertain,,,low,codex_preliminary_v1,"Trunk rotation is visible, but three stills are insufficient to distinguish an amplitude error from a valid phase difference."
E_ID14_Es3,3,reviewed,correct,,,high,codex_preliminary_v1,"Left upper arm is held near 90 deg to the torso and appears shoulder-level."
E_ID14_Es3,4,reviewed,error,posture,moderate,high,codex_preliminary_v1,"Right elbow remains flexed (median about 123 deg) through the interval."
E_ID14_Es3,5,reviewed,correct,,,high,codex_preliminary_v1,"Left elbow is fully extended (median about 176 deg)."
E_ID8_Es3,1,reviewed,correct,,,medium,codex_preliminary_v1,"Visible start posture is controlled; DTW is matching setup to a longer reference transition."
E_ID8_Es3,2,reviewed,correct,,,high,codex_preliminary_v1,"Left upper arm remains close to shoulder level (about 81 deg)."
E_ID8_Es3,3,reviewed,correct,,,medium,codex_preliminary_v1,"The right arm lowers during normal completion at the final boundary."
E_ID8_Es3,4,reviewed,correct,,,medium,codex_preliminary_v1,"Normal torso rotation is visible without forward/backward compensation."
E_ID8_Es3,5,reviewed,correct,,,medium,codex_preliminary_v1,"Normal torso rotation continues; no clear execution error is visible."
E_ID9_Es3,1,reviewed,correct,,,medium,codex_preliminary_v1,"Right upper-arm elevation is acceptable; the obvious right-elbow flexion belongs to right_lower_arm."
E_ID9_Es3,2,reviewed,correct,,,high,codex_preliminary_v1,"Left upper arm is held near shoulder level (about 86 deg)."
E_ID9_Es3,3,reviewed,error,posture,severe,high,codex_preliminary_v1,"Left elbow is strongly flexed (median about 81 deg) instead of extended."
E_ID9_Es3,4,reviewed,correct,,,medium,codex_preliminary_v1,"Visible lowering is part of the normal end transition, not a trunk-orientation error."
